PMID,file_name,short_citation,include,clinical_only,clinical_expanded,clinical_and_research,compendium_references,compendium_with_references
NP002,AAPMRCompendium_NP002,AAPMRCompendium_NP002,y,y,y,y,,y
32920235,Afrin_32920235,Afrin_32920235,y,,,,y,y
33887749,Al-Aly_33887749,Al-Aly_33887749,y,,,y,,
38386747,Al-Aly_38386747,Al-Aly_38386747,y,,,y,,
39122965,Al-Aly_39122965,Al-Aly_39122965,y,,y,y,,
37433988,Altmann_37433988,Altmann_37433988,y,,,y,,
35717982,Antonelli_35717982,Antonelli_35717982,y,,,,y,y
38177128,Appelman_38177128,Appelman_38177128,y,,,y,y,y
37062302,Arbel_37062302,Arbel_37062302,y,,,,y,y
37875536,Atchison_37875536,Atchison_37875536,y,,,,y,y
38081885,Aziz_38081885,Aziz_38081885,y,,,,y,y
37257891,Ballouz_37257891,Ballouz_37257891,y,,,y,,
34258904,Basu-Ray_34258904,Basu-Ray_34258904,y,,,,y,y
34454716,Bateman_34454716,Bateman_34454716,y,,y,,,
37586567,Becker_37586567,Becker_37586567,y,,,,y,y
33634144,Belli_33634144,Belli_33634144,y,,,,y,y
36169154,Blitshteyn_36169154,Blitshteyn_36169154,y,,,y,y,y
36238713,Brannock_36238713,Brannock_36238713,y,,,,y,y
39142509,Brode_39142509,Brode_39142509,y,,,y,,
37272336,Cai_37272336,Cai_37272336,y,,,,y,y
21777306,Carruthers_21777306,Carruthers_21777306,y,,,y,,
NP003,CDC_NP003,CDC_NP003,y,,,y,,
NP013,Centers_NP013,Centers_NP013,y,,,,y,y
NP017,Centers_NP017,Centers_NP017,y,,,,y,y
35200425,Centers_NP023,Centers_NP023,y,,,,y,y
38236961,Cervia-Hasler_38236961,Cervia-Hasler_38236961,y,,,y,,
38173801,Chakraborty_38173801,Chakraborty_38173801,y,,,,y,y
37937672,Cheng_37937672,Cheng_37937672,y,,,y,y,y
38768458,Chou_38768458,Chou_38768458,y,,,y,,
35585196,Choutka_35585196,Choutka_35585196,y,,,y,,
34308526,Chung_34308526,Chung_34308526,y,,,,y,y
38634418,Clutterbuck_38634418,Clutterbuck_38634418,y,,,,y,y
25695122,Committee_25695122,Committee_25695122,y,,,,y,
38527615,Coste_38527615,Coste_38527615,y,,,,y,y
29157400,Crabtree-Hartman_29157400,Crabtree-Hartman_29157400,y,,,,y,y
34308300,Davis_34308300,Davis_34308300,y,,,y,,
36639608,Davis_36639608,Davis_36639608,y,,,y,y,y
37069455,Davis_37069455,Davis_37069455,y,,,,,
38246521,Daynes_38246521,Daynes_38246521,y,,,,y,y
37342998,De-Domenico_37342998,De-Domenico_37342998,y,,,,y,y
32108857,Del-Rio_32108857,Del-Rio_32108857,y,,,,y,y
38400166,Di-Fusco_38400166,Di-Fusco_38400166,y,,,,y,y
36312294,Dysautonomia_NP018,Dysautonomia_NP018,y,,,,y,y
36820640,Fabiani_36820640,Fabiani_36820640,y,,,,y,y
34902226,Fine_34902226,Fine_34902226,y,,,y,y,y
39110819,Fineberg_39110819,Fineberg_39110819,y,,y,y,,y
37561665,Ford_37561665,Ford_37561665,y,,,,y,y
38866353,Fox_38866353,Fox_38866353,y,,,,y,y
32324159,Frieri_25944644,Frieri_25944644,y,,,,y,y
36556003,Frizzelli_36556003,Frizzelli_36556003,y,,,,y,y
39693079,Geng_39693079,Geng_39693079,y,,,y,,
NP004,Giles_NP004,Giles_NP004,y,,,y,,
34611034,Glynne_34611034,Glynne_34611034,y,,,,y,y
37793728,Grach_37793728,Grach_37793728,y,,,,y,y
32784198,Greenhalgh_32784198,Greenhalgh_32784198,y,,,,y,y
36137612,Greenhalgh_36137612,Greenhalgh_36137612,y,,,y,,
38416429,Hampshire_38416429,Hampshire_38416429,y,,,,y,y
36215063,Hanson_36215063,Hanson_36215063,y,,,,y,y
38333368,Hartung_38333368,Hartung_38333368,y,,,y,,
38036541,Hastie_38036541,Hastie_38036541,y,,,,y,y
34346558,Herrera_34346558,Herrera_34346558,y,,,y,y,y
NP005,HHS_NP005,HHS_NP005,y,,,y,,
NP014,Homerton_NP014,Homerton_NP014,y,,,,y,y
38813984,Hurt_38813984,Hurt_38813984,y,,,,y,y
37054777,Joseph_37054777,Joseph_37054777,y,,,y,,
37496529,Kalava_37496529,Kalava_37496529,y,,,,y,y
36628048,Khan_36628048,Khan_36628048,y,,,,y,y
38437702,Kim_38437702,Kim_38437702,y,,,y,,
37748514,Klein_37748514,Klein_37748514,y,,,,y,y
38272997,Klirova_38272997,Klirova_38272997,y,,,,y,y
37342500,Komaroff_37342500,Komaroff_37342500,y,,,y,,
36385449,Kubota_36385449,Kubota_36385449,y,,,y,,
35939544,Kuehn_35939544,Kuehn_35939544,y,,,,y,y
37155736,Kuut_37155736,Kuut_37155736,y,,,,y,y
38316434,Laskowski_38316434,Laskowski_38316434,y,,,,y,y
36899952,Leng_36899952,Leng_36899952,y,,,,y,y
35388182,Lenze_NP021,Lenze_NP021,y,,,,y,y
36700201,Linnhoff_36700201,Linnhoff_36700201,y,,,,y,y
33606031,Logue_33606031,Logue_33606031,y,,,y,,
34240583,Maley_34240583,Maley_34240583,y,,,,y,y
34902224,Maley_34902224,Maley_34902224,y,,,y,y,y
36169159,Malone_36169159,Malone_36169159,y,,,y,y,y
36989078,Melamed_36989078,Melamed_36989078,y,,,y,y,y
37626710,Melendez-Oliva_37626710,Melendez-Oliva_37626710,y,,,,y,y
37147136,Mina_37147136,Mina_37147136,y,,,,y,y
NP010,Mirin_NP010,Mirin_NP010,y,,,,y,y
36631153,Mizrahi_36631153,Mizrahi_36631153,y,,,y,,
38397731,Moine_38397731,Moine_38397731,y,,,,y,y
30607330,Mojaverrostami_30607330,Mojaverrostami_30607330,y,,,,y,y
40105889,Mueller_40105889,Mueller_40105889,y,,y,,,
38740499,Naik_38740499,Naik_38740499,y,,,,y,y
37158440,Nikolich_37158440,Nikolich_37158440,y,,,y,,
35814187,OKelly_35814187,OKelly_35814187,y,,,,y,y
36474804,OMahoney_36474804,OMahoney_36474804,y,,,y,,
38172101,Ozonoff_38172101,Ozonoff_38172101,y,,,,y,y
37806726,Parkinson_37806726,Parkinson_37806726,y,,,,y,y
32188386,Patoulias_32188386,Patoulias_32188386,y,,,,y,y
37711269,Pearson_37711269,Pearson_37711269,y,,,,y,y
35272932,Peluso_35272932,Peluso_35272932,y,,,,y,y
36454631,Peluso_36454631,Peluso_36454631,y,,,,y,y
39326415,Peluso_39326415,Peluso_39326415,y,,y,y,,
36966460,Perez_36966460,Perez_36966460,y,,,,y,y
36790806,Perlis_36790806,Perlis_36790806,y,,,,y,y
39556163,Pfrommer_39556163,Pfrommer_39556163,y,,,,y,y
35027728,Phetsouphanh_35027728,Phetsouphanh_35027728,y,,,,y,y
37234076,Pollack_37234076,Pollack_37234076,y,,,,y,y
38970055,Polo_NP015,Polo_NP015,y,,,,y,y
20192908,Porter_20192908,Porter_20192908,y,,,,y,y
34248921,Proal_34248921,Proal_34248921,y,,,,y,y
37328773,Wang_37328773,Wang_37328773,y,,,y,,
NP020,Reis_NP020,Reis_NP020,y,,,,y,y
37489358,Reiss_37489358,Reiss_37489358,y,,,,y,y
35198158,Reuschke_NP011,Reuschke_NP011,y,,,,y,y
32965460,Rubin_32965460,Rubin_32965460,y,,,,y,y
33419740,Salman_33419740,Salman_33419740,y,,,,y,y
38206585,Sathyamoorthy_38206585,Sathyamoorthy_38206585,y,,,,y,y
38560070,Sathyamoorthy_38560070,Sathyamoorthy_38560070,y,,,,y,y
38496502,Silva_38496502,Silva_38496502,y,,,,y,y
37216955,Singh_37216955,Singh_37216955,y,,,,y,y
NP001,SSALongCovid_NP001,SSALongCovid_NP001,y,,,y,,
28890890,Steffen_28890890,Steffen_28890890,y,,,,y,y
34506003,Storz_34506003,Storz_34506003,y,,,,y,y
NP019,Substance_NP019,Substance_NP019,y,,,,y,y
36052466,Swank_36052466,Swank_36052466,y,,,,y,y
38541324,Sweis_38541324,Sweis_38541324,y,,,,y,y
35962520,Taghrir_35962520,Taghrir_35962520,y,,,,y,y
36921274,Tenforde_36921274,Tenforde_36921274,y,,,,y,y
37278994,Thaweethai_37278994,Thaweethai_37278994,y,,,y,,
39050244,Tintore_39050244,Tintore_39050244,y,,,,y,y
36910458,Tran_36910458,Tran_36910458,y,,,,y,y
NP012,United_NP012,United_NP012,y,,,,y,y
33529750,US_NP016,US_NP016,y,,,,y,y
38311655,Vernino_38311655,Vernino_38311655,y,,,,y,y
39142505,Vogel_39142505,Vogel_39142505,y,,y,y,,
19111779,Whitehead_19111779,Whitehead_19111779,y,,,,y,y
35657351,Whiteson_35657351,Whiteson_35657351,y,,,y,y,y
37848036,Wong_37848036,Wong_37848036,y,,,y,y,y
35307156,Writing_35307156,Writing_35307156,y,,,,y,y
38672710,Wu_38672710,Wu_38672710,y,,,,y,y
35132265,Xie_35132265,Xie_35132265,y,,,,y,y
39018527,Xie_39018527,Xie_39018527,y,,,y,,
37169323,Xuereb_37169323,Xuereb_37169323,y,,,,y,y
39603702,Zeraatkar_39603702,Zeraatkar_39603702,y,,y,,,
38756213,Zheng_38756213,Zheng_38756213,y,,,,y,y
NP022,Zimmerman_NP022,Zimmerman_NP022,y,,,,y,y
35650445,Zubchenko_35650445,Zubchenko_35650445,y,,,,y,y
